Admission No,Student Name,Mobile No,Course,Subject,Admission Date,Father Name,Mother Name,Father Occupation,DOB,Gender,Category,Subcast,Permanent Address,Present Address,District,State,Domicile,Email,Aadhaar No,Subject 4,Subject 5,Subject 6,Last Exam,Last Exam Year,Last Subject,Last Roll No,Last Enroll No,Board,Total Marks,Obtain Marks,Division,Percentage,Remark
309/55587,XITI PANDYA,2899052277,PGDCA (Post Graduate Diploma in Computer Applications),COMPUTER,16-03-2026,ISHAAN BALAN,ANYA KHALSA,CARPENTER,19-01-2005,Female,OBC,,"277, ROY MARG, MADHYAMGRAM 379065","475, PARSA MARG, ADONI 413585",DHAMTARI,C.G.,NO,eeshadugal@example.com,206026461797,,,,GRADUATION,2021,ARTS,77877656,479139635,STATE BOARD,500,329,FIRST,65.8,
969/12537,KAI JOSHI,3238158058,M.Sc. (Physics - Previous),PHYSICS,08-02-2026,ROHAN KASHYAP,MITALI SACHAR,NURSE,16-02-2002,Male,OBC,,"12, KHOSLA GANJ, ALAPPUZHA 122179","87/485, NADKARNI CHOWK, AJMER-884351",BIJAPUR,C.G.,YES,munshifaras@example.net,503067100065,,,,GRADUATION,2020,SCIENCE,80513507,349876643,HEMCHAND YADAV UNIVERSITY,500,400,FIRST,80.0,
335/76577,VYANJANA SHAH,5207446727,M.Sc. (Computer Science - Previous),COMPUTER,16-03-2026,EKBAL PALLA,AARINI MITTAL,FREELANCER,03-04-2008,Female,GEN,,"68, MINHAS NAGAR, BELLARY-651970","H.NO. 12, SARNA MARG, SAHARANPUR-873399",SURGUJA,C.G.,NO,girish60@example.net,456906772725,,,,GRADUATION,2023,SCIENCE,62355048,643502066,HEMCHAND YADAV UNIVERSITY,500,262,SECOND,52.4,
940/30904,KEVIN NANDA,6601876925,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,12-03-2026,GAURAV KALE,ZANSI TANEJA,SHOPKEEPER,07-03-2002,Male,OBC,,"59/23, LALLA, TIRUNELVELI 318453","H.NO. 224, NARULA ROAD, GANDHINAGAR-213262",MAHASAMUND,C.G.,YES,madhavkibe@example.com,648610993015,,,,12TH,2023,ARTS,43172816,152509890,HEMCHAND YADAV UNIVERSITY,500,378,FIRST,75.6,
698/84480,AMOL RATTA,9994663524,M.Sc. (Biotechnology - Final),-,31-01-2026,HRITIK NARANG,YASHODA BIR,MECHANIC,29-11-2001,Male,SC,,"H.NO. 819, NAZARETH ROAD, PUNE 268806","H.NO. 426, MANI CIRCLE, CUTTACK 032155",BALRAMPUR,C.G.,NO,owenvarkey@example.org,574310570162,,,,GRADUATION,2023,SCIENCE,14985978,840236379,CBSE,500,444,FIRST,88.8,
173/25657,CHARVI SHAH,0758450836,B.Com.,COMMERCE,15-02-2026,REYANSH BAJWA,AISHANI SETH,SHOPKEEPER,24-05-2006,Female,SC,,"61/837, MITAL ZILA, JALGAON-520054","45/93, CHANA, ALWAR-986842",MAHASAMUND,C.G.,YES,egoswami@example.com,811453889688,,,,12TH,2021,COMMERCE,57170818,566922632,HEMCHAND YADAV UNIVERSITY,500,291,SECOND,58.2,
314/90681,VAMAKSHI BRAHMBHATT,6924064761,M.Sc. (Physics - Final),PHYSICS,10-03-2026,THOMAS DAS,VINAYA SURESH,STUDENT,15-05-2001,Female,GEN,,"H.NO. 454, DUBE STREET, PIMPRI-CHINCHWAD-341922","H.NO. 63, MOHANTY ROAD, OZHUKARAI-586051",GARIABAND,C.G.,YES,aishanipathak@example.org,736377894803,,,,GRADUATION,2020,SCIENCE,51842301,886545144,HEMCHAND YADAV UNIVERSITY,500,281,SECOND,56.2,
603/11905,LEENA BAJAJ,4929168781,B.Sc. (Biology),BIOLOGY,14-01-2026,AAYUSH MUTTI,TAMANNA KHATRI,SELF EMPLOYED,13-11-2008,Female,SC,,"H.NO. 54, WARRIOR CHOWK, HAPUR 129625","15/90, CHAUDHRY CHOWK, RAICHUR 710003",BALOD,C.G.,NO,qadimvala@example.org,614682437822,,,,12TH,2024,SCIENCE,53244033,078693016,CBSE,500,284,SECOND,56.8,
702/12283,ZAID CHHABRA,9036593970,M.Sc. (Physics - Final),PHYSICS,31-01-2026,DALBIR MOHAN,VASUDHA CHAUDHARY,STUDENT,27-12-2006,Male,SC,,"46/002, MANN GANJ, BHIWANDI-695997","529, GODA ROAD, TUMKUR-525303",BALOD,C.G.,YES,zlanka@example.com,995847485229,,,,GRADUATION,2021,SCIENCE,59146936,943939333,HEMCHAND YADAV UNIVERSITY,500,411,FIRST,82.2,
188/11597,VASATIKA THAKER,3354406625,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,05-03-2026,AARNAV DUGAL,ETA MENON,RETIRED,10-04-2007,Female,OBC,,"84, DUGAL CIRCLE, BILASPUR 286503","479, SANDHU ZILA, KHANDWA-910361",BALODA BAZAR,C.G.,NO,dbandi@example.net,250967125349,,,,12TH,2021,ARTS,87010643,517866697,STATE BOARD,500,239,SECOND,47.8,
609/20806,IKSHITA MAMMEN,1572598876,M.Com. (Final),COMMERCE,13-01-2026,QABIL LAD,AMARA NADIG,NURSE,10-02-2004,Female,SC,,"62/308, CHAR ROAD, ROURKELA-808218","36/01, BATRA ZILA, DAVANAGERE-422921",BILASPUR,C.G.,YES,karanjayaraman@example.net,110114047777,,,,GRADUATION,2022,COMMERCE,77522734,522259767,HEMCHAND YADAV UNIVERSITY,500,221,THIRD,44.2,
164/50404,CALEB MINHAS,2528783627,M.Sc. (Mathematics - Final),MATHEMATICS,12-03-2026,ANAY KALLA,AVNI BALA,CONSULTANT,10-03-2004,Male,SC,,"96/704, CHANA, WARANGAL-966111","H.NO. 899, MADAN STREET, RAJAHMUNDRY 669109",JANJGIR-CHAMPA,C.G.,NO,indrajitwalia@example.org,983245636828,,,,GRADUATION,2021,SCIENCE,95493823,756946321,CBSE,500,494,FIRST,98.8,
929/15601,XALAK BANERJEE,6870009164,M.Sc. (Physics - Final),PHYSICS,22-02-2026,RANVEER CHAKRABORTY,EKTA PUROHIT,POLICE,02-04-2002,Female,GEN,,"07/81, KUMER MARG, ORAI 234092","H.NO. 438, NAGI GANJ, BIKANER 392426",JASHPUR,C.G.,NO,dominic78@example.com,595257283009,,,,GRADUATION,2023,SCIENCE,65301409,216985207,HEMCHAND YADAV UNIVERSITY,500,200,THIRD,40.0,
551/57971,WAKEETA MUKHERJEE,0458610196,M.Sc. (Chemistry - Previous),CHEMISTRY,12-02-2026,JAGDISH NARAIN,NISHA HAYRE,ELECTRICIAN,29-02-2004,Female,SC,,"886, TAK ROAD, GIRIDIH 258188","40/87, KURIAN CIRCLE, PIMPRI-CHINCHWAD 267342",GARIABAND,C.G.,YES,zayyan45@example.org,706599381136,,,,GRADUATION,2022,SCIENCE,97638859,309875286,HEMCHAND YADAV UNIVERSITY,500,480,FIRST,96.0,
353/23749,SHRAVYA BERA,7814010720,M.Sc. (Biotechnology - Final),-,15-01-2026,UDARSH DAVE,NETRA BHASIN,ARMY PERSONNEL,12-03-2007,Female,OBC,,"832, SINHA, MAHESHTALA-332736","H.NO. 025, PATIL PATH, MUMBAI 171679",GARIABAND,C.G.,YES,anamika67@example.org,794548340987,,,,GRADUATION,2022,SCIENCE,48750887,777058268,STATE BOARD,500,380,FIRST,76.0,
749/52879,LABAN MANNAN,6349475903,B.Com.,COMMERCE,10-02-2026,GIRISH GANESAN,INDALI GALA,SELF EMPLOYED,27-02-2008,Male,SC,,"H.NO. 33, KOTA, BELLARY-659234","39/406, MALL CHOWK, ETAWAH-593818",BALODA BAZAR,C.G.,YES,gargandrew@example.net,380470233358,,,,12TH,2020,COMMERCE,16702715,484150108,CBSE,500,267,SECOND,53.4,
390/80094,VASANA KADE,7886606370,B.Sc. Electronics,-,13-02-2026,ATHARV SOLANKI,LADLI PAI,NURSE,02-03-2001,Female,GEN,,"90/622, HORA PATH, DANAPUR-998247","79, WARRIOR MARG, BHIWANI-407389",KOREA,C.G.,NO,bkrishnamurthy@example.com,250761307384,,,,12TH,2020,SCIENCE,22528376,102690186,CBSE,500,296,SECOND,59.2,
401/67740,ADITYA BORA,8443440430,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,14-03-2026,ARYAN BRAHMBHATT,SUHANI GARA,FREELANCER,27-12-2007,Male,GEN,,"95/75, THAKER GANJ, SAHARSA 051191","31/65, NARAIN GANJ, KARNAL-946866",BASTAR,C.G.,NO,damyanti89@example.org,329186139212,,,,12TH,2025,ARTS,26726860,943445794,CBSE,500,416,FIRST,83.2,
655/21386,UNNI DUBE,4539563776,B.Com.,COMMERCE,23-01-2026,HRITIK DUBE,BHANUMATI MAMMEN,ACCOUNTANT,29-06-2002,Female,OBC,,"595, SARRAF ZILA, TADIPATRI-383609","H.NO. 886, HEGDE, PIMPRI-CHINCHWAD 948626",KONDAGAON,C.G.,YES,edhithabrahmbhatt@example.net,024248309418,,,,12TH,2024,COMMERCE,07586163,640874318,CBSE,500,416,FIRST,83.2,
223/76751,RUSHIL KUMAR,3769632244,M.Sc. (Biotechnology - Previous),-,18-03-2026,ADVIK GOUR,DIYA NORI,TEACHER,13-07-2003,Male,GEN,,"15/567, NAGI CIRCLE, VIJAYANAGARAM-749930","H.NO. 62, GUPTA CIRCLE, BHIMAVARAM-751628",GARIABAND,C.G.,NO,eiravatiraja@example.net,051076661285,,,,GRADUATION,2022,SCIENCE,40870015,320436683,STATE BOARD,500,308,FIRST,61.6,
345/52593,ONKAR BORA,1321998542,B.Sc. Biotechnology,-,17-01-2026,SHIVANSH CHERIAN,CHAMELI PAL,DRIVER,30-07-2004,Male,ST,,"690, CHOPRA GANJ, SAMBHAL 489162","52, KAR, JUNAGADH-663835",DURG,C.G.,YES,chanderbimala@example.net,317263347665,,,,12TH,2024,SCIENCE,26431953,525181265,STATE BOARD,500,309,FIRST,61.8,
341/15024,AADHYA KALE,5941249778,B.A.,ARTS,17-03-2026,ABHIMANYU SINGHAL,ARUNIMA KARA,ARTIST,17-04-2004,Female,OBC,,"78/58, PANDEY STREET, THOOTHUKUDI 891075","58, LATA NAGAR, MUZAFFARPUR 977229",RAIGARH,C.G.,NO,dominic08@example.org,765015867090,,,,12TH,2021,ARTS,67816970,775076130,HEMCHAND YADAV UNIVERSITY,500,386,FIRST,77.2,
789/80831,AMRITA SHAH,1349195780,M.Sc. (Biotechnology - Final),-,13-03-2026,QUINCY BUCH,UBIKA SEKHON,GOVT EMPLOYEE,02-11-2003,Female,SC,,"H.NO. 436, KRISHNAMURTHY, RAIPUR 450548","411, CHAUDHARY NAGAR, SALEM-326367",DURG,C.G.,NO,lipikaravel@example.com,102587022736,,,,GRADUATION,2020,SCIENCE,22584208,363865898,STATE BOARD,500,293,SECOND,58.6,
995/66406,SAMESH CHANDER,7975211346,BCA (Bachelor of Computer Applications),COMPUTER,03-02-2026,GABRIEL SHAN,VEDHIKA RAMASWAMY,RETIRED,09-03-2005,Male,SC,,"H.NO. 38, OOMMEN CIRCLE, ETAWAH-603589","85, KAKAR ROAD, BANGALORE-719577",DHAMTARI,C.G.,NO,yashoda63@example.org,409748842580,,,,12TH,2023,ARTS,65045761,964675766,CBSE,500,268,SECOND,53.6,
315/28600,LOGAN CHANDRA,3485369116,B.Sc. (Biology),BIOLOGY,07-02-2026,XAVIER KALA,OMAJA DASGUPTA,CLERK,17-04-2004,Male,SC,,"701, SANGHVI ROAD, BHARATPUR-403294","70, CHACKO STREET, HOWRAH-443304",BILASPUR,C.G.,YES,amairakhosla@example.org,833561305357,,,,12TH,2021,SCIENCE,11511683,360203319,HEMCHAND YADAV UNIVERSITY,500,294,SECOND,58.8,
338/79299,PAHAL IYENGAR,5207874897,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,07-02-2026,VICTOR DIVAN,MUGDHA MALL,POLICE,25-02-2007,Female,ST,,"652, CHAUDHARY ROAD, TADIPATRI 002526","H.NO. 215, BORA ROAD, KARNAL 524524",BILASPUR,C.G.,YES,magarhredhaan@example.net,615033017168,,,,12TH,2021,ARTS,19045297,915817051,STATE BOARD,500,310,FIRST,62.0,
845/91383,DAMINI DUTTA,7049411215,M.Sc. (Botany - Final),BOTANY,04-03-2026,IMARAN SHETTY,AMARA MODI,LABOUR,12-10-2002,Female,SC,,"12/755, NATH CIRCLE, TIRUVOTTIYUR 460472","735, BEDI GANJ, ALWAR-406934",KORBA,C.G.,YES,zayan13@example.org,141528695200,,,,GRADUATION,2025,SCIENCE,89349594,965652322,CBSE,500,274,SECOND,54.8,
148/51858,ROHAN KALA,9634296857,M.Sc. (Computer Science - Final),COMPUTER,09-03-2026,RUSHIL NARANG,RACHANA NARAYAN,CARPENTER,12-04-2004,Male,OBC,,"86/17, TARA MARG, SRI GANGANAGAR-705433","04/63, VARGHESE CIRCLE, BOKARO-521295",MAHASAMUND,C.G.,YES,chauhanbalhaar@example.net,736798071967,,,,GRADUATION,2021,SCIENCE,01066944,537819461,STATE BOARD,500,459,FIRST,91.8,
802/12726,VASANA PALAN,3926412543,B.Sc. Computer Science,COMPUTER,23-01-2026,FREDERICK MANE,OMYA MITAL,SELF EMPLOYED,21-08-2001,Female,ST,,"67/515, KARA, HUBLI–DHARWAD-147479","98, KARPE CIRCLE, BHILAI-304674",RAIPUR,C.G.,YES,alexandernadig@example.com,394723141978,,,,12TH,2024,SCIENCE,19718493,850971949,CBSE,500,298,SECOND,59.6,
271/23350,ANIKA NADKARNI,8046567886,M.Com. (Final),COMMERCE,05-03-2026,AMOL BOSE,KASHVI GUPTA,SELF EMPLOYED,23-11-2008,Female,OBC,,"12, ZACHARIAH STREET, MADURAI 648675","H.NO. 192, NATH STREET, BERHAMPUR 020710",KANKER,C.G.,YES,jpradhan@example.com,889525174695,,,,GRADUATION,2021,COMMERCE,28559601,220897452,CBSE,500,262,SECOND,52.4,
724/55033,RACHITA SHUKLA,1323931019,BBA (Bachelor of Business Administration),MANAGEMENT,20-02-2026,LABAN VOHRA,LOPA ANAND,STUDENT,18-05-2005,Female,SC,,"897, GARA GANJ, ANAND-903275","447, TELLA NAGAR, NIZAMABAD 834258",RAJNANDGAON,C.G.,YES,triptisrinivas@example.net,551466521180,,,,12TH,2022,ARTS,72700353,762316477,STATE BOARD,500,392,FIRST,78.4,
393/61670,VANSHA COMAR,8625541987,B.Sc. Computer Science,COMPUTER,30-01-2026,FARHAN ANDRA,DEVIKA PRASAD,FREELANCER,29-11-2004,Female,ST,,"65, NARULA MARG, ETAWAH-328871","76, SARNA MARG, AMBATTUR 034799",SUKMA,C.G.,NO,simon92@example.org,579472809977,,,,12TH,2020,SCIENCE,47397671,352837595,CBSE,500,266,SECOND,53.2,
794/86138,SAMARTH TRIPATHI,5815807460,M.Com. (Final),COMMERCE,11-02-2026,CHAKRADHAR THAKKAR,VANYA NARANG,POLICE,01-03-2003,Male,OBC,,"H.NO. 56, CHAUDHARY, ANAND-074503","623, ZACHARIAH NAGAR, RAJKOT 192268",GARIABAND,C.G.,NO,obakshi@example.com,938990800050,,,,GRADUATION,2025,COMMERCE,43984053,783050906,CBSE,500,449,FIRST,89.8,
152/32986,QUSHI GABA,0436657767,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,21-01-2026,BAKHSHI BOSE,BHAVNA PALLA,RETIRED,14-10-2006,Female,SC,,"90, BOSE PATH, BALLY-523892","H.NO. 425, RAU CIRCLE, NELLORE 702417",RAIPUR,C.G.,NO,ayushman65@example.com,576238786934,,,,12TH,2023,ARTS,92639407,698095813,CBSE,500,252,SECOND,50.4,
272/97554,JAGVI VARMA,6593655990,B.A.,ARTS,24-02-2026,GUNBIR KALITA,TRIYA DATE,CLERK,23-11-2003,Female,ST,,"876, MODI NAGAR, ASANSOL 414281","400, KAUR ZILA, PUNE 783278",BEMETARA,C.G.,YES,aamble@example.com,373261097536,,,,12TH,2020,ARTS,04794127,359201935,HEMCHAND YADAV UNIVERSITY,500,487,FIRST,97.4,
922/23836,KASHVI DHAR,0099647184,M.A. (Previous),ARTS,24-02-2026,VEDANT KUMER,CHANDANI KADAKIA,SHOPKEEPER,01-08-2004,Female,ST,,"55/37, MUKHERJEE MARG, THIRUVANANTHAPURAM-063034","04/26, GABA ROAD, AMBATTUR 277570",SUKMA,C.G.,NO,umangraman@example.org,556368850110,,,,GRADUATION,2022,ARTS,01632164,015480810,HEMCHAND YADAV UNIVERSITY,500,376,FIRST,75.2,
915/20978,NAKSH SANDHU,0366493446,M.Sc. (Zoology - Previous),ZOOLOGY,01-01-2026,GAURAV KHOSLA,TRIVENI RAMASWAMY,SELF EMPLOYED,19-04-2005,Male,ST,,"12, JAGGI ZILA, BHARATPUR-357499","43/09, REDDY CIRCLE, NANDYAL-887468",KOREA,C.G.,YES,chandran07@example.org,411185482924,,,,GRADUATION,2021,SCIENCE,86558778,861407684,CBSE,500,370,FIRST,74.0,
841/81086,JAGVI PALLA,1244826491,M.Sc. (Computer Science - Final),COMPUTER,29-01-2026,JACKSON KURUVILLA,HAMSINI CHAUDHRY,NURSE,18-10-2000,Female,GEN,,"20, SHANKER STREET, MORBI 483695","47, SETTY, MUZAFFARNAGAR 662879",KANKER,C.G.,NO,tamannabutala@example.org,314548545021,,,,GRADUATION,2022,SCIENCE,66133293,020833235,STATE BOARD,500,422,FIRST,84.4,
457/51787,ISHA MAND,3252987664,B.Sc. Biotechnology,-,17-02-2026,JEREMIAH KAR,SANAYA OOMMEN,SELF EMPLOYED,17-02-2009,Female,OBC,,"04, RATTAN PATH, BHIWANI-364120","H.NO. 593, VARTY GANJ, AVADI 257139",RAIGARH,C.G.,YES,harshilchokshi@example.org,697564694434,,,,12TH,2024,SCIENCE,48016407,356932522,HEMCHAND YADAV UNIVERSITY,500,397,FIRST,79.4,
552/12378,JASMIT KALA,3795205804,BCA (Bachelor of Computer Applications),COMPUTER,26-02-2026,ADVAY SHARAF,ANJALI BEDI,SHOPKEEPER,06-04-2001,Female,SC,,"H.NO. 418, CHAUDHARI MARG, BELGAUM-933355","H.NO. 69, GANDHI CHOWK, MAHBUBNAGAR 085247",DHAMTARI,C.G.,NO,onatarajan@example.com,472695975395,,,,12TH,2025,ARTS,16064901,031986036,STATE BOARD,500,291,SECOND,58.2,
878/62719,JEEVIKA KEER,6762903579,M.Sc. (Chemistry - Final),CHEMISTRY,28-02-2026,UPKAAR SANDHU,URMI SULE,TEACHER,03-11-2004,Female,OBC,,"H.NO. 558, SAMA CIRCLE, KADAPA-477543","H.NO. 32, IYENGAR CIRCLE, RANCHI 917226",BALODA BAZAR,C.G.,YES,subramanianjagat@example.net,670767669963,,,,GRADUATION,2020,SCIENCE,20856404,545371008,CBSE,500,297,SECOND,59.4,
810/59346,OMAJA BERA,9981067764,M.Sc. (Zoology - Previous),ZOOLOGY,29-01-2026,OM JANI,NITARA BALI,LAWYER,29-12-2008,Female,OBC,,"28/32, PATIL STREET, AVADI 486547","H.NO. 259, DAVE MARG, ROHTAK 492380",BILASPUR,C.G.,YES,lilapatel@example.com,953054061807,,,,GRADUATION,2023,SCIENCE,37736332,832575797,CBSE,500,287,SECOND,57.4,
791/37981,MANBIR DOCTOR,1596768614,M.Sc. (Biotechnology - Final),-,23-02-2026,HEMANG WARRIOR,DAMYANTI ROUT,STUDENT,19-01-2007,Male,ST,,"H.NO. 518, RATTA ROAD, TIRUPPUR 560411","H.NO. 36, PARMAR ZILA, JEHANABAD 606704",BIJAPUR,C.G.,YES,warriorkabir@example.org,339512470649,,,,GRADUATION,2022,SCIENCE,69297450,713846342,CBSE,500,336,FIRST,67.2,
